Toyota Land Cruiser , 2013/40000$/"https://i.cars.kg/preview/r/sZF13j8IvoUPAnd-7M-I3w/1080x-/20211006/5b7d7a4aa6a0ec9c56b98e8cfd1362d8.jpg"
Lexus LX , 2012/43000$/"https://i.cars.kg/preview/r/K8JWe8yQqXBZV8sUKORE8w/1080x-/20211006/da167e7dd4138b1569abfbea5aef4480.jpg"
Volvo S70 1 поколение Седан , 1998/2700$/"https://i.cars.kg/preview/r/3ezoNAtQt5CbWMrFITSE-A/1080x-/20211006/0de9317eb40e05ffb3aabe277ecea924.jpg"
Toyota Тойота Гая , 2002/5300$/"https://i.cars.kg/preview/r/KM4vUikHPuPWb7JlueBg3w/1080x-/20211006/1668d59e5e7144161b8cc48477ae55d3.jpg"
Lexus RX , 2007/14800$/"https://i.cars.kg/preview/r/So4B-WILH9F3Kq03vEA_Gw/1080x-/20211006/4541d20500cd595d7eef9dbb9cecf60b.jpg"
Mercedes-Benz S-Класс W220 [рестайлинг] Седан , 2003/6700$/"https://i.cars.kg/preview/r/aGhgRmV0QxS2qW77z9I7GA/1080x-/20211006/843f3680ed882cc3b5ee6b4308f49bfc.jpeg"
Mercedes-Benz S-Класс W221 [рестайлинг] Седан 4-дв. , 2010/19900$/"https://i.cars.kg/preview/r/WOI4ZI-KcYIxLG6OdZcjuw/1080x-/20211006/a9a826101daaec2d92a36d59ca044716.jpg"
Lexus LX 3 поколение [рестайлинг] Внедорожник , 2013/46000$/"https://i.cars.kg/preview/r/Pv2Se_U5nifd6krA99_O8w/1080x-/20211006/dbc1eb6221f48f93793c2f4cf2b339c6.jpg"
Toyota Land Cruiser J200 [рестайлинг] 200 внедорожник , 2012/39500$/"https://i.cars.kg/preview/r/73r_FWRbeJatY4Jm45LW6w/1080x-/20211006/979a95ac9fa1296df0501c38f002aef1.jpg"
BMW X5 F15 Кроссовер , 2014/26000$/"https://i.cars.kg/preview/r/B1UBvjMYzrdfqdKCB2wctw/1080x-/20211006/3ff382427c205a9951d067e82ff6bc53.jpg"
Lexus RX 2 поколение [рестайлинг] Кроссовер , 2007/14000$/"https://i.cars.kg/preview/r/pWaL2KrlVKsPNr3AOx0peQ/1080x-/20211006/9e2ab31f264315998844195bb3c92fca.jpg"
Toyota Camry , 2015/18999$/"https://i.cars.kg/preview/r/_LdNAYHPO-k2t6CSf1Op-Q/1080x-/20211006/906c700256219f4dc4fb35443f2458fc.jpg"
Hyundai Starex , 2005/60000$/"https://i.cars.kg/preview/r/yysiLmBFZOSg6__cIhfT_w/1080x-/20211006/9bab016e76eaa0c3d99c5b4e9b780a72.jpg"
Kia K5 1 поколение Седан , 2013/9500$/"https://i.cars.kg/preview/r/rpA6-lTLMSZdFyAwxcoXCw/1080x-/20211006/0c8ecda5e8f47063dd55fac150a40030.jpg"
"Mercedes-Benz C-Класс W203/S203/CL203 [рестайлинг] Универсал 5-дв. , 2007"/7200$/"https://i.cars.kg/preview/r/Boh-LkpU_x2Ye26aHIajGw/1080x-/20211006/be2ea1dbb2e2dad643b1ba2230bda585.jpg"
Lexus GX , 2008/27500$/"https://i.cars.kg/preview/r/O3tYPBVWEeIzsRlK2_BYNw/1080x-/20211006/3ae916a265056a6b70a2e166ff7afda4.jpg"
Volkswagen Golf 4 поколение , 2003/6300$/"https://i.cars.kg/preview/r/vrO7T14hitaRiMuGsk9-ag/1080x-/20211006/707362e5202cad7e9a25419430a3865e.jpg"
Honda Fit 1 поколение Хетчбэк , 2003/5300$/"https://i.cars.kg/preview/r/el6HmzvTabnlDKvTynxf7Q/1080x-/20211006/8a4774dd926ec000107f2e30c8167f0c.jpg"
Kia K7 1 поколение Седан , 2010/10800$/"https://i.cars.kg/preview/r/p9_IKs5zcRZ6LQAFeX4goQ/1080x-/20211005/e18a7c60c8bee3647f376d624a165896.jpg"
Nissan Almera G11 Седан , 2015/6800$/"https://i.cars.kg/preview/r/ugm15-cC2OCDfA9COnZ_QA/1080x-/20211005/be6a7faecfd0114d30da15d8e1bb3432.jpg"
Nissan March K11 [рестайлинг] Bolero хетчбэк 5-дв. , 1997/2100$/"https://i.cars.kg/preview/r/qs8aiLp6o1xFqRoSa4qBHA/1080x-/20211005/3f3a3c163b2c6ec5314c7062273baba2.jpg"
Daihatsu YRV 1 поколение Минивэн , 2002/1297$/"https://i.cars.kg/preview/r/7BSBRX6DgkcmOhtiIHx7Ng/1080x-/20211005/fcdbb7c643f705303adb5d6f817b3e08.jpg"
Mercedes-Benz S-Класс W221 AMG седан 4-дв. , 2008/20000$/
Toyota Ist 1 поколение Хетчбэк , 2003/6000$/
Volkswagen Passat B6 Универсал 5-дв. , 2008/7000$/"https://i.cars.kg/preview/r/L7IVxbrZxkE6oVZigXJ6DA/1080x-/20211005/8b0bc223ae81f24b54c822fe6cab333a.jpg"
Toyota Wish 1 поколение [рестайлинг] Минивэн , 2005/620000$/"https://i.cars.kg/preview/r/9jqqkkcLON2MPVpVAXih_g/1080x-/20211005/6938cf7be47cfaec3c9e4c9ec05c9c4c.jpeg"
Audi A4 , 1999/2830$/"https://i.cars.kg/preview/r/XzveXtfDCJN8wyT1YNvVow/1080x-/20211005/5e373d558851d4c5980c03cc5d4a6b19.jpg"
Nissan Maxima J30 , 1990/1000$/"https://i.cars.kg/preview/r/mYe45ubuC8xdaJxbixBqKQ/1080x-/20211005/d18b712cff3a6c92c9d234197ef5dab1.jpg"
Volkswagen Passat B5.5 [рестайлинг] Седан , 2002/2594$/"https://i.cars.kg/preview/r/pQAZoCy6iZP8cfm7ti9dxg/1080x-/20211005/0c14a4873594fa83b7655f6601146523.jpg"
Toyota Camry XV50 [рестайлинг] Седан , 2015/18950$/"https://i.cars.kg/preview/r/LnKosgY9T9fXKdlq6NTHMw/1080x-/20211005/16918c67be58d15ac645205538d5ad7a.jpg"
Lexus LS 4 поколение [рестайлинг] 460 седан 4-дв. , 2007/10700$/"https://i.cars.kg/preview/r/MUUyMkNyG0pJe9a9HZUz3A/1080x-/20211005/44db4661051c317a252056eeb9bb388f.jpeg"
BMW X5 E70 [рестайлинг] Кроссовер , 2012/19850$/"https://i.cars.kg/preview/r/uE8mfQQfnSYpo6PBubGPNA/1080x-/20211005/f0ec8e5016984db9f875ea30f6c82d59.jpg"
Toyota Alphard 2 поколение [рестайлинг] Минивэн 5-дв. , 2012/26000$/"https://i.cars.kg/preview/r/kYslKriMcL39e1w_JUutSA/1080x-/20211005/814546b7e062b0f1af7e721f99658764.jpg"
Ravon Gentra 1 поколение Седан , 2017/5700$/"https://i.cars.kg/preview/r/e8bVkmlENcI85Guj7gWzmA/1080x-/20211005/517dc250b66ec8a552fdefb1217ca4b5.jpg"
Lexus LX , 2008/32500$/"https://i.cars.kg/preview/r/BcOJ5_rSdIPLcW_c45v7Lg/1080x-/20211005/4e3ad6b43d78501c2bae3387f8b54817.jpg"
"Mercedes-Benz E-Класс W210/S210 [рестайлинг] Седан , 2000"/5000$/"https://i.cars.kg/preview/r/JU-HSibEVsc5-Q1vtw3mvw/1080x-/20211005/b1dd18fb0a048fccdd982b3d4f8a0069.jpeg"
Honda Civic 6 поколение Хетчбэк 3-дв. , 2001/3800$/"https://i.cars.kg/preview/r/uIcULAdwWBeP7Dr6wflydg/1080x-/20211005/eb1b697da8be1b2897b0782bb2b80f5e.jpeg"
Nissan X-Trail T31 Кроссовер , 2009/10000$/"https://i.cars.kg/preview/r/vi2GhBULqPaPyLRx_iP-Vw/1080x-/20211005/39fbf24d63f29b0f2afc272a30804bcc.jpg"
Toyota 4Runner 5 поколение Внедорожник , 2015/25999$/"https://i.cars.kg/preview/r/nhlU2A50NvOp07_Ow41X7A/1080x-/20211004/2610a76206ff4febd81a67047a24a299.jpg"
